日期,Video ID,视频标题,发布时间,当日播放量,观看时长（分钟）,平均观看时长（秒）,平均观看百分比,新增订阅,取消订阅,预估收入（USD）
2026-07-29,vtiL2x5e-mw,2025 Web3 新人必看！Bitget 注册教程（VPN 节点推荐+手续费减免）丨加密货币交易所丨Bitget交易所,2025-12-19T06:47:44Z,1,0,55,94.54,0,0,0
2026-07-29,g3AsbkTuV-Q,2025 Web3 新人必看！Bitget 注册教程（VPN 节点推荐+手续费减免）丨加密货币交易所丨Bitget交易所,2025-12-19T06:44:17Z,1,0,12,4.62,0,0,0
2026-07-29,581K0_hH6I4,2025 最新 Bybit 注册全流程：33% 永久返佣 + KYC 认证 + 安全设置，全球前三交易所注册指南！#Bybit交易返佣攻略 #bybit #投資,2025-11-20T15:36:14Z,0,0,0,0,0,0,0
2026-07-29,HVpqQJ1KnH4,2025 最新 Bybit 注册全流程：33% 永久返佣 + KYC 认证 + 安全设置，全球前三交易所注册指南！|#Bybit注册教程|#Bybit KYC认证|#Bybit交易返佣攻略,2025-11-20T14:50:53Z,0,0,0,0,0,0,0
2026-07-29,lry28RMfR9A,2025 谷歌邮箱注册教程｜+86 手机号亲测成功！解决扫码无反应 / 验证码发送失败丨Gmail注册丨+86手机号注册,2025-12-24T17:21:31Z,2,0,35,101.88999999999999,0,0,0
2026-07-29,-spjGRq82wo,2025 谷歌邮箱注册教程｜+86 手机号亲测成功！解决扫码无反应 / 验证码发送失败丨Gmail注册丨+86手机号注册,2025-12-24T16:56:59Z,1,1,90,42.12,0,0,0
2026-07-29,-IkmCbxfqb0,2025040  S01 重磅！Bitget 接入 MT5，交易版图大扩张！丨Bitget注册丨Bitge MT5丨Bitget TradFI,2026-01-19T12:43:59Z,0,0,0,0,0,0,0
2026-07-29,Dci4Mj3dHKE,2025推特（X）注册保姆级教程！跨境党必看！图形验证 + 邮箱验证一步过，无需手机号|#Twitter注册 #免手机号推特注册,2025-11-24T04:00:10Z,57,31,41,45.03,0,0,0.004
2026-07-29,nVLttd5kWaA,2025推特（X）注册保姆级教程！跨境党必看！图形验证 + 邮箱验证一步过，无需手机号|Twitter注册 丨免手机号推特注册,2025-11-24T04:00:48Z,10,10,62,34.39,0,0,0
2026-07-29,J5CH5o858yg,2026丨WISE注册新手完整教程、攻略！丨wise开户丨跨境转账,2026-01-02T03:45:47Z,7,10,86,23.43,0,0,0.014
2026-07-29,PzA7r7YQhNY,2026丨重磅！Bitget 接入 MT5，交易版图大扩张！丨Bitget注册丨Bitge MT5丨Bitget TradFI,2026-01-19T12:39:25Z,0,0,0,0,0,0,0
2026-07-29,V7AN_wtpaDQ,2026丨（0基础）小白VPS节点搭建教程，有手就行！丨VPS搭建v2rayn丨VPS推荐,2026-01-05T04:17:14Z,29,51,106,44.75,1,0,0.663
2026-07-29,WJSz_t9nIHo,2026丨（0基础）小白VPS节点搭建教程，有手就行！丨VPS搭建v2rayn丨VPS推荐,2026-01-05T04:14:49Z,227,205,76,126.78,1,0,0.027
